Augusta,"unkn0130-44, caes0024-2",Augusta,PROPN,w-Augusta,,y,Augustus,y,m,other,Augustus,,y,government,Augustus,y,unitname,,,,,,,,,,,,,,,,,,,,,
Augustae,"caes0044-4, caes0003-9",Augusta,PROPN,w-Augustae,,y,Augustus,y,m,other,Augustus,,y,government,Augustus,y,unitname,,,,,,,,,,,,,,,,,,,,,
augustalibus,caes0122-7,augustalis,ADJ,w-augustalibus,,y,,,m,other,Augustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustalis,caes0122-3,Augustalis,PROPN,w-Augustalis,,y,,,m,other,Augustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusti,"caes0034-4, jeru0494-15, caes0018-5, megi0002-16, bani0003-8, achz0001-22, caes0106-19, kara0001-19, bani0003-5, caes0007-5, caes0031-3, caes0020-2, caes0107-7, caes0035-3, caes0022-3, jeru0494-9, caes0002-3, caes0011-6",Augustus,PROPN,w-Augusti,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augustis,ashk0003b-15,Augustus,PROPN,w-Augustis,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augusto,"jeru0497-7, caes0047-5, caes0006-9, kara0001-9, caes0107-13, tsha0002-12, caes0354-2, maay0001-17, caes0009-15, jeru0554-12, ashk0003a-18, caes0053-4, caes0045-4, caes0027-4, bshe0006-14, caes0049-5, caes0106-9",Augustus,PROPN,w-Augusto,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augustus,"achz0001-7, caes0054-5, yotv0001-4, unkn0131-8, caes0051-5, jeru0491-4, jeru0491-9, yotv0001-7, cape0001-12, caes0052-5, jeru0491-11, jeru0494-4, unkn0130-7",Augustus,PROPN,w-Augustus,,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Aureli,megi0002-14,Aurel,PROPN,w-Aureli,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelio,"ashk0003a-13, ashk0003b-9, caes0009-9, caes0010-16",Aurelius,PROPN,w-Aurelio,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelius,"caes0007-6, unkn0131-4",Aurelius,PROPN,w-Aurelius,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurreli,"bani0003-3, bani0003-6",Aurrelius,PROPN,w-Aurreli,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurunculeius,caes0002-9,Aurunculeius,PROPN,w-Aurunculeius,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,masa0941-21,b,X,w-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbarorum,maay0001-11,barbarus,NOUN,w-barbarorum,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,,,,,
Basso,"unkn0130-73, jeru0494-13",Bassus,PROPN,w-Basso,,,,y,m,other,Bassus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bene,"nabl0001-23, caes0163-1, nabl0002-11",bene,ADV,w-bene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boethi,caes0030-2,Boethus,PROPN,w-Boethi,,,,y,m,other,Boethus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bona,"caes0682-2, fiqg0002-2",bonus,ADJ,w-bona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracaraugustanorum,unkn0130-65,Bracaraugustani,PROPN,w-Bracaraugustanorum,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Britannicus,unkn0131-11,Britannicus,PROPN,w-Britannicus,,,,,,,,,,,,,,y,British,,,,,,,,,,,,,,,,,,,
Bubasti,megi0002-2,Bubastus,PROPN,w-Bubasti,,y,Bubastus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,masa0941-22,c,X,w-c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar,"caes0352-1, jeru0494-2, achz0001-2, caes0051-2, caes0054-2, cape0001-2, unkn0131-2, caes0052-2, jeru0494-7, jeru0491-2, unkn0130-2, jeru0491-7",Caesar,PROPN,w-Caesar,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesare,"caes0047-2, caes0049-2, masa0795-6, masa0799-1",Caesar,PROPN,w-Caesare,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesarea,caes0024-3,Caesarea,PROPN,w-Caesarea,,,,,,,,,,,,,,,,,,y,Caesarea,https://pleiades.stoa.org/places/678401,,,,,,,,,,,,,,
Caesareae,"caes0044-5, caes0003-10",Caesarea,PROPN,w-Caesareae,,,,,,,,,,,,,,,,,,y,Caesarea,https://pleiades.stoa.org/places/678401,,,,,,,,,,,,,,
Caesares,yotv0001-13,Caesar,PROPN,w-Caesares,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesari,"caes0017-13, jeru0497-2, caes0014-13, caes0106-17, tsha0002-2, bshe0006-6, caes0006-2, ashk0003a-2, caes0106-2, kara0001-2, jeru0554-2, caes0528-1, caes0107-2, caes0027-2",Caesar,PROPN,w-Caesari,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesaribus,ashk0003b-2,Caesar,PROPN,w-Caesaribus,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesaris,megi0002-13,Caesar,PROPN,w-Caesaris,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cai,nabl0001-5,Caius,PROPN,w-Cai,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio,"caes0007-1, kara0001-12, caes0018-1, caes0106-3, kara0001-3, caes0006-3",Gaius,PROPN,w-Caio,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caius,"masa0831-1, caes0002-8, haif0020a-1, nabl0001-19, nabl0001-3",Caius,PROPN,w-Caius,,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callaecorum,unkn0130-64,Callaeci,PROPN,w-Callaecorum,,,,,,,,,,,,y,unitname,y,tribe,,,,,,,,,,,,,,,,,,,
Callisto,caes0002-6,Calliste,PROPN,w-Callisto,,,,y,m,other,Calliste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calpurniano,caes0010-2,Calpurnianum,PROPN,w-Calpurniano,,,,y,m,other,Calpurnianum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilia,emma0001-4,Camilia,PROPN,w-Camilia,,,,y,f,other,Camilia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campestris,masa0830-1,Campestra,PROPN,w-Campestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
Cantabrorum,unkn0130-61,Cantabri,PROPN,w-Cantabrorum,,,,,,,,,,,,y,unitname,y,tribe,,,,,,,,,,,,,,,,,,,
Capricorno,tsha0001-1,Capricornus,PROPN,w-Capricorno,,y,Capricornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casesari,kara0001-17,Casesarus,PROPN,w-Casesari,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
causa,"caes0002-7, caes0031-18",causa,NOUN,w-causa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caustri,masa0948-2,causter,NOUN,w-caustri,,,,y,m,other,Causter,,,,,,,,,,,,,,,,,,,,,,,,,,,
censor,unkn0130-16,censor,NOUN,w-censor,,,,,,,,,y,government,censor,,,,,,,,,,,,,,,,,,,,,,,
censori,caes0027-11,censor,NOUN,w-censori,,,,,,,,,y,government,censor,,,,,,,,,,,,,,,,,,,,,,,
centurio,"caes0007-8, caes0148-6, caes0119-4, caes0350-2, caes0146-13",centurio,NOUN,w-centurio,,,,,,,,,y,military,centurion,y,rank,,,,,,,,,,,,,,,,,,,,,
civitatem,unkn0130-91,ciuitas,NOUN,w-civitatem,,,,,,,,,y,military,centurion,y,rank,,,,,,,,,,,,,,,,,,,,,
Claudio,"caes0145-2, caes0021-2",Claudius,PROPN,w-Claudio,,,,y,m,other,Claudius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudius,caes0146-11,Claudius,PROPN,w-Claudius,,,,y,m,other,Claudius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens,caes0006-10,Clemens,PROPN,w-Clemens,,,,y,m,other,Clemens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra,caes0044-8,Cleopatra,PROPN,w-Cleopatra,,,,y,f,other,Cleopatra,,,,,,,,,,,,,,,,,,,,,,,,,,,
cohors,jeru0494-18,cohors,NOUN,w-cohors,,,,,,,,,,,,y,cohors,,,,,,,,,,,,,,,,,,,,,
cohortibus,unkn0130-32,cohors,NOUN,w-cohortibus,,,,,,,,,,,,y,cohors,,,,,,,,,,,,,,,,,,,,,
Coloniae,"caes0044-1, caes0122-4, caes0003-6",Colonia,PROPN,w-Coloniae,,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
coloniae,"caes0044-1, caes0122-4, caes0003-6",colonia,NOUN,w-coloniae,,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
coniugi,"caes0160-4, caes0148-2",coniux,NOUN,w-coniugi,,,,,,,,,,,,,,,,y,marriage,,,,,,,,,,,,,,,,,
Constans,megi0002-24,Constans,PROPN,w-Constans,,,,y,m,other,Constans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantio,caes0017-8,Constantius,PROPN,w-Constantio,,,,y,m,other,Constantius,,,,,,,,,,,,,,,,,,,,,,,,,,,
constantis,caes0146-10,constans,ADJ,w-constantis,,,,y,m,other,Constans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantius,yotv0001-9,Constantius,PROPN,w-Constantius,,,,y,m,other,Constantius,,,,,,,,,,,,,,,,,,,,,,,,,,,
constituerunt,yotv0001-17,constituo,VERB,w-constituerunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consul,"unkn0131-20, achz0001-16, unkn0130-18",consul,NOUN,w-consul,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consularis,caes0030-3,consularis,ADJ,w-consularis,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consuli,"caes0027-9, jeru0554-18, tsha0002-20, caes0107-17",consul,NOUN,w-consuli,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consultissimo,"caes0014-3, caes0017-3",consuls,ADJ,w-consultissimo,,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
conubium,unkn0130-94,connubium,NOUN,w-conubium,,,,,,,,,,,,,,,,y,marriage,,,,,,,,,,,,,,,,,
cum,yotv0001-15,cum,ADP,w-cum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cumana,masa0825-2,cimanus,ADJ,w-cumana,,,,y,m,other,Cimanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
curatori,caes0035-8,curator,NOUN,w-curatori,,,,,,,,,y,military,curator,,,,,,,,,,,,,,,,,,,,,,,
curiarum,maay0001-6,curia,NOUN,w-curiarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,building,,,,,
